State,Birthplace,Weight
900,4100,22.69
900,3100,26.22
900,52000,2.82
900,20000,255.12
900,52400,10.87
900,40100,3.89
900,21030,67.81
900,2600,182.91
900,45100,3.56
900,21040,132.61
900,40200,0.69
900,54200,26.11
900,2100,36.84
900,21050,43.67
900,1600,15.21
900,53600,1.73
900,21060,8.29
900,1100,67.06
900,21070,11.68
900,43600,128.45
900,46520,1.41
900,51800,71.96
900,51300,20.38
900,43610,2.5
900,4700,45.14
900,42000,7.38
900,100,72.84
900,4200,556.1
900,26044,10.75
900,60011,0.7
900,60012,16.86
900,60014,12.87
900,60015,4.2
900,42600,11.09
900,60019,1.34
900,3700,204.81
900,60023,24.99
900,46200,12.09
900,60027,8.76
900,60031,22.8
900,3200,9.99
900,60033,1.74
900,95000,0.54
900,45700,23.42
900,60038,4.34
900,30060,5.81
900,16010,4.06
900,2700,58.53
900,46530,40.14
900,45710,6.5
900,45200,5.3
900,43800,19.77
900,16020,8.69
900,60053,3.29
900,60054,2.66
900,60055,1.43
900,2200,42.46
900,2500,1330.68
900,45212,6.51
900,45213,4.3
900,60064,2.49
900,60065,0.97
900,1700,243.72
900,60072,2.62
900,21020,17.69
900,45740,20.51
900,1200,231.87
900,51400,4.35
900,5300,59.43
900,42100,31.69
900,60094,13.33
900,4800,146.79
900,45600,22.13
900,60099,24.12
900,200,32.58
900,46540,2.7
900,29900,0.52
900,60024,0.2
900,50900,0.93
900,3800,7.42
900,4900,21.46
900,2000,29.7
900,3300,140.27
900,11500,11.74
900,2800,26.49
900,41000,90.74
900,45300,132.17
900,11000,939.96
900,2300,285.0
900,54400,4.72
900,10500,4.49
900,60044,4.87
900,1800,74.22
900,10000,0.09
900,54100,5.38
900,1300,128.85
900,5400,35.4
900,70020,4.76
900,10010,0.14
900,800,59.89
900,43300,49.01
900,51500,90.08
900,4400,370.83
900,43400,222.2
900,30005,29.7
900,40500,9.34
900,30010,7.3
900,3900,218.68
900,30015,160.02
900,5600,4.26
900,43330,10.22
900,30020,16.14
900,3400,578.95
900,30025,141.78
900,53200,5.91
900,30030,174.29
900,60045,6.29
900,50000,187.8
900,41300,64.81
900,30040,48.12
900,50010,17.25
900,30045,3.84
900,2400,112.01
900,400,34.68
900,30050,138.79
900,1900,41.87
900,71021,0.53
900,30065,19.52
900,41100,20.99
900,50040,25.02
900,70010,12.57
900,5500,66.82
900,40000,4.19
900,71042,0.25
900,900,19650.71
900,5000,120.03
900,49900,8.44
900,30090,3.8
900,52110,31.47
900,51600,6.62
900,15000,190.39
900,4500,150.98
900,52200,16.91
900,60057,0.46
900,26010,128.77
900,51100,26.78
900,4000,27.34
900,54000,4.33
900,52130,2.77
900,46500,61.46
900,25000,28.84
900,3500,16.82
900,26030,361.66
900,46000,1.6
900,50100,44.71
900,52150,6.48
900,41400,41.22
900,51700,21.69
900,26042,5.36
900,26043,3.89
900,45500,285.87
900,41410,3.07
900,53700,12.41
900,26054,13.59
900,26055,2.46
900,45000,10.13
900,26057,2.45
900,26058,7.43
900,26059,1.12
900,26060,27.1
900,46541,1.36
900,46542,1.28
900,46543,2.95
900,40400,6.43
900,43000,39.13
900,46547,3.39
900,26020,118.45
900,52100,284.39
900,1500,27.11
900,45400,22.91
900,1000,30.21
900,53500,2.68
900,26091,3.55
900,5100,164.97
900,26094,13.4
900,3000,10.95
900,500,12.73
900,53400,17.41
900,4600,10.61
900,2900,61.19
900,59900,12.25
900,60032,0.57
900,46590,4.53
1000,51200,0.58
1000,4100,5.18
1000,52140,9.46
1000,3600,443.4
1000,51800,11.28
1000,21010,0.31
1000,46100,0.24
1000,46510,0.42
1000,50200,20.22
1000,42500,2.14
1000,3100,9.7
1000,52000,0.23
1000,20000,164.21
1000,1200,72.32
1000,21030,3.16
1000,2600,45.87
1000,45100,2.72
1000,43800,4.14
1000,21040,30.36
1000,40200,0.18
1000,2100,23.16
1000,21050,7.04
1000,1600,0.91
1000,53600,0.27
1000,21060,0.64
1000,1100,67.79
1000,21070,2.15
1000,43600,1.17
1000,41400,4.3
1000,600,79.22
1000,51300,1.14
1000,43610,0.2
1000,4700,28.83
1000,42000,1.78
1000,100,32.64
1000,4200,1189.1
1000,26044,0.94
1000,26020,20.01
1000,60012,0.98
1000,60014,1.87
1000,60015,0.54
1000,42600,0.78
1000,60019,0.82
1000,3700,82.64
1000,60023,9.31
1000,54100,0.08
1000,60027,11.46
1000,60031,9.58
1000,3200,1.55
1000,60033,2.87
1000,45700,1.2
1000,60038,0.88
1000,16010,0.19
1000,60044,3.54
1000,60045,21.54
1000,45710,0.21
1000,45200,0.66
1000,5400,58.67
1000,16020,0.16
1000,60053,0.18
1000,60054,0.23
1000,60055,1.24
1000,2200,17.64
1000,60057,0.5
1000,45212,0.2
1000,45213,0.54
1000,60064,0.72
1000,60065,0.28
1000,40100,0.46
1000,60072,2.69
1000,21020,1.95
1000,52400,0.87
1000,51400,1.7
1000,5300,16.04
1000,42100,4.35
1000,60094,2.92
1000,4800,63.88
1000,45600,3.71
1000,2700,12.08
1000,60099,8.18
1000,200,19.74
1000,40400,0.12
1000,46200,0.61
1000,3800,3.19
1000,4900,7.42
1000,53200,0.15
1000,3300,12.72
1000,11500,1.18
1000,2800,14.71
1000,41000,20.72
1000,45300,30.33
1000,11000,78.06
1000,2300,20.9
1000,60032,0.53
1000,10500,2.54
1000,1800,30.09
1000,40500,1.15
1000,1300,45.14
1000,95000,0.89
1000,70020,0.52
1000,800,12.98
1000,43300,5.3
1000,51500,31.25
1000,4400,14.95
1000,5000,3.94
1000,30005,2.68
1000,41410,0.96
1000,30010,1.0
1000,3900,82.99
1000,30015,6.17
1000,46520,2.4
1000,30020,3.03
1000,3400,418.46
1000,30025,7.92
1000,30030,7.26
1000,50000,39.47
1000,2900,19.6
1000,30040,5.02
1000,50010,2.15
1000,30045,0.77
1000,2400,570.84
1000,51600,0.77
1000,30050,10.11
1000,1900,13.18
1000,30065,1.29
1000,41100,2.54
1000,50040,8.52
1000,70010,1.16
1000,5500,17.29
1000,40000,0.14
1000,900,44.97
1000,43400,8.2
1000,49900,0.24
1000,30090,0.91
1000,53700,2.89
1000,45400,0.78
1000,52110,3.32
1000,400,11.38
1000,15000,18.07
1000,4500,43.23
1000,52200,2.83
1000,26010,7.05
1000,51100,0.43
1000,4000,12.43
1000,54000,0.85
1000,52130,0.6
1000,46500,4.41
1000,25000,4.55
1000,54400,1.61
1000,3500,3.93
1000,26030,23.35
1000,46000,0.49
1000,50100,9.34
1000,52150,0.64
1000,54200,6.39
1000,51700,2.79
1000,26042,1.42
1000,26043,0.15
1000,45500,6.04
1000,46530,3.52
1000,2500,76.27
1000,26054,0.25
1000,26055,0.19
1000,45000,1.72
1000,26058,0.33
1000,26060,8.11
1000,46541,0.15
1000,46543,1.19
1000,2000,12.01
1000,43000,0.44
1000,1700,59.33
1000,52100,80.68
1000,1500,6.73
1000,5600,3.38
1000,1000,4022.98
1000,53500,0.67
1000,26091,0.3
